Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
AFG,Afghanistan,-1.26406398289368e-016,2.02413491694831e-016,43,62.7,0.802081543,114,22.1,36.3,4.08418031936923,6.39,69.59093,4.6191,9.45344827586207,0.1,91.1,0.266,340,56.57452735,43.40000153,36.7028846604423,8334374,26.8,89.77377698,5.85,17.2916997526606,45.04142,30.74908,31.89532,-8.96566338700402,-1.26787061377732,-7.36538855449425,0.916068226254253,-4.00211637285405,0.345348259864099,1
BDI,Burundi,-1.26406398289368e-016,2.02413491694831e-016,6.5,57.9,1.398660325,158,10.6,40.3,2.780635781,1.38,87.39075,5.41475,25,1.1,81.7,0.028,195,21.55325396,77,36.7028846604423,4952060,13.7244444444444,89.07516976,11.35,17.2916997526606,42.50685,26.20684,14.67375,-8.60105309436434,-1.31904139925728,-0.158902324503848,-0.377224519019701,-2.63190665480632,1.60521452829257,1
BEN,Benin,-2.74307637362012,1.43175597022239,38.4,61.5,4.329718565,90,8.9,63.3,3.358208895,5.3,62.58466,4.7956,6,1.1,99.5,0.059,89,37.88944806,72.19999695,36.7028846604423,4444955,7.5,83.01346861,11.87,17.2916997526606,11.01843,7.69833,17.25623,-7.7365782416872,-0.346426200599773,-7.83030911386107,0.621733545333426,1.38837230783596,-0.480983061659049,1
BGD,Bangladesh,-3.62915296912602,1.52277094749073,59.6,55.1,9.236862234,428.9,14.3,31.6,3.558376581,9.6,80.61053,1.96616,4.3,0.1,37.6,0.356,404,30.83346991,67.80000305,36.7028846604423,78976778,16.4,53.68590411,14.52,9.5863,36.87466,33.24147,23.08715,-4.33995496078256,0.930124448319461,-2.14236335333586,-2.13252096538115,-3.33915415461599,1.08133322163505,1
BWA,Botswana,-1.26406398289368e-016,2.02413491694831e-016,53.24,59.2,30.28354068,77,21.3,25.1,2.715542638,18.5,96.14773,9.63293,9.45344827586207,25.2,43.6,0.336,354,385.314097,62.79999924,17.5,1155963,24.1,55.60051588,8.08,17.2916997526606,18.1653428099174,15.549878907563,18.63335,0.82709294205109,2.06210785589108,1.05625873488276,-0.516989540276045,7.51620089401094e-003,0.01661559760041,1
CAF,Central African Republic,-1.26406398289368e-016,2.02413491694831e-016,10.8,93.3,1.079971532,98,37,73.3,4.08418031936923,4.03,48.8571,1.22862,9.45344827586207,4.3,130.1,0.048,435,15.5874302,72.90000153,36.7028846604423,2291727,47.7,76.23280568,17.39,17.2916997526606,18.1653428099174,15.549878907563,34.60677,-8.0834486572236,-1.61706382149417,-9.74101550300876,1.6154653238446,-0.655166217025454,-1.4483351864838,1
CIV,"Cote d'Ivoire",-1.26406398289368e-016,2.02413491694831e-016,55.8,56,5.881447799,55,4.3,51.9,5.234129965,14.6,59.6092,4.71947,16.4,3.5,92.6,0.144,215,88.37029761,64.59999847,36.7028846604423,8540700,13.3,84.3652116,11.87,17.2916997526606,34.32982,20.60998,9.05427,-7.05183714953338,-0.64331982694626,-7.72728996235651,0.708641672586208,-1.24316749390461,1.59613434471605,1
CMR,Cameroon,-1.26406398289368e-016,2.02413491694831e-016,53.7,37.8,3.521575584,64,20.4,48.8,3.276135193,11,87.11932,3.02834,13.6,4.8,87.9,0.077,266,58.6522027,67.30000305,36.7028846604423,9176788,9.9,85.11251799,17.47,17.2916997526606,19.73618,19.26365,52.02621,-4.43536979252144,5.67346407398572e-002,-1.51749098707606,5.73791521091549e-002,-1.87949285117424,-2.79760090461285,1
COG,"Congo, Rep.",-1.26406398289368e-016,2.02413491694831e-016,41.6,46.9,3.83447135,135,19.6,56,4.08418031936923,7.11,85.68361,6.22079,9.45344827586207,2.8,45,0.095,461,161.6386006,66.09999847,36.7028846604423,1827861,30.5,86.07687167,17.34,17.2916997526606,19.5078,16.8374,12.25985,-4.58636959967444,-0.30657959346938,-1.49797052780748,0.509829686887107,4.31367252716264e-002,0.707858130099221,1
GHA,Ghana,-2.32050018756196,0.621853916225929,64.06256,37.9,8.19539136,79,9.2,32.7,3.503800139,18.9,91.32188,5.93355,7.4,1.5,61.6,0.096,282,57.89263246,67.80000305,17.39999962,11372106,5,73.43398487,12.34,33.75565,15.3958,19.50429,29.61281,-2.68901700065125,0.528765078105284,-0.586827934332908,-0.443507471519533,-0.67661462705411,-0.840820161606715,1
